mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
0.76,18.01,0.0,47.24,1.0,145,58.14,42.86,350.44,3755.0,22885.0,12,1,1.0
0.76,17.98,0.0,47.15,1.0,142,61.15,44.37,355.78,3450.0,22260.0,12,1,1.0
0.76,17.94,0.0,47.15,1.0,140,59.36,45.41,345.01,3635.0,21750.0,12,1,1.0
0.76,17.91,0.0,47.15,1.0,140,62.54,46.27,331.13,3520.0,21395.0,12,1,1.0
0.76,17.87,0.0,48.21,1.0,140,59.5,46.15,306.67,4460.0,21815.0,12,1,1.0
0.76,17.84,0.0,48.16,1.0,136,60.89,47.26,311.35,4320.0,21400.0,12,1,1.0
0.75,17.8,0.0,48.03,1.0,136,55.74,47.69,310.14,4630.0,21145.0,12,1,1.0
0.75,17.77,0.0,47.94,1.0,136,55.19,48.5,311.85,4480.0,20050.0,12,1,1.0
0.75,17.73,0.0,47.99,1.0,137,52.91,49.61,314.68,4720.0,19355.0,12,1,1.0
0.75,17.68,0.0,47.98,1.0,135,51.19,50.37,320.53,4830.0,19105.0,12,1,1.0
0.74,17.65,0.0,47.84,1.0,137,48.53,50.16,310.38,5070.0,19645.0,12,1,1.0
0.74,17.6,0.0,47.68,1.0,142,51.64,50.44,324.66,4390.0,20015.0,13,1,1.0
0.0,0.0,0.0,0.0,999.0,0,100.0,100.0,0.0,0.0,0.0,0,2,28.0
0.0,0.0,0.0,90.0,28.0,1,100.0,22.92,0.0,0.0,370.0,8,2,1.0
14.0,19.8,-28.0,71.33,1.0,3,21.92,22.18,77.8,1119.0,1489.0,9,2,1.0
9.67,15.89,-27.0,68.5,1.0,4,17.45,18.41,46.35,1969.0,2339.0,9,2,1.0
7.5,13.67,-27.0,99.8,1.0,4,18.23,18.23,121.97,3129.0,3129.0,9,2,1.0
5.17,11.2,-28.0,99.86,1.0,6,17.4,17.4,124.73,4389.0,4389.0,9,2,1.0
2.91,8.34,-28.0,68.25,1.0,11,18.79,18.79,182.55,5489.0,5489.0,9,2,1.0
2.36,7.4,-28.0,60.6,1.0,14,20.04,20.04,209.65,6554.0,6554.0,9,2,1.0
1.89,6.53,-28.0,53.11,1.0,18,20.41,20.41,222.14,7674.0,7674.0,9,2,2.0
1.84,6.35,-27.0,53.95,2.0,19,22.25,21.33,277.52,7500.0,9469.0,10,2,1.0
1.85,6.18,-26.0,52.33,1.0,20,23.21,21.82,282.32,7410.0,10539.0,10,2,1.0
1.41,5.34,-28.0,51.82,1.0,27,24.35,22.07,290.81,7242.0,11631.0,10,2,1.0
1.34,5.16,-28.0,50.03,1.0,29,24.7,22.4,274.22,7217.0,12706.0,11,2,1.0
1.29,4.99,-28.0,48.47,1.0,31,21.91,21.1,263.91,7232.0,13786.0,11,2,1.0
1.24,4.83,-28.0,48.56,1.0,33,22.01,21.24,258.77,7222.0,14896.0,11,2,1.0
1.08,4.46,-28.0,52.78,1.0,39,21.6,20.87,247.46,7267.0,16111.0,11,2,1.0
1.02,4.3,-28.0,52.47,1.0,42,20.92,21.13,244.48,7712.0,17181.0,11,2,1.0
1.0,4.2,-28.0,51.13,1.0,44,22.15,21.96,250.81,7572.0,18111.0,11,2,1.0
0.96,4.06,-28.0,51.94,1.0,47,22.39,22.2,249.68,7532.0,19163.0,11,2,1.0
0.88,3.87,-28.0,55.06,1.0,52,21.26,21.97,237.87,7647.0,20353.0,11,2,1.0
0.87,3.8,-28.0,53.96,1.0,54,23.89,22.09,238.81,7647.0,21433.0,11,2,1.0
0.86,3.73,-28.0,54.44,1.0,56,24.06,22.17,229.33,7627.0,22523.0,11,2,1.0
0.86,3.7,-27.0,53.84,1.0,57,27.29,22.88,252.57,7312.0,23423.0,11,2,1.0
0.86,3.66,-27.0,53.78,1.0,58,28.69,23.37,247.21,7177.0,24358.0,11,2,1.0
0.85,3.6,-28.0,52.67,1.0,60,27.78,23.63,242.35,7267.0,25378.0,11,2,1.0
0.83,3.52,-28.0,52.23,1.0,63,28.4,23.92,240.77,7215.0,26378.0,11,2,1.0
0.83,3.49,-27.0,52.2,1.0,64,29.74,24.05,249.12,7070.0,27423.0,11,2,1.0
0.83,3.46,-27.0,52.32,1.0,65,29.19,23.95,240.61,7110.0,28543.0,11,2,1.0
0.81,3.39,-28.0,53.16,1.0,68,29.82,24.13,245.06,7045.0,29568.0,11,2,1.0
0.79,3.32,-28.0,54.29,1.0,71,28.39,24.22,233.04,7191.0,30614.0,11,2,1.0
0.79,3.29,-27.0,54.1,1.0,72,26.76,24.18,236.63,7356.0,31714.0,11,2,1.0
0.77,3.23,-28.0,53.28,1.0,73,25.81,24.2,232.69,7446.0,31705.0,11,2,1.0
0.76,3.17,-28.0,53.03,1.0,75,24.79,24.46,235.6,6821.0,31230.0,11,2,1.0
0.72,3.07,-28.0,51.71,1.0,79,23.27,24.4,227.1,6951.0,31245.0,11,2,3.0
0.73,3.06,-27.0,51.46,3.0,70,22.15,24.54,238.89,7070.0,31130.0,11,2,2.0
0.75,3.05,-25.0,51.56,2.0,66,20.17,24.31,214.51,7045.0,31025.0,11,2,1.0
0.76,3.02,-28.0,52.43,1.0,68,20.26,23.98,213.04,7805.0,31535.0,11,2,1.0
0.74,2.95,-28.0,52.6,1.0,71,20.77,23.84,207.11,7750.0,31585.0,11,2,1.0
0.72,2.89,-28.0,54.16,1.0,68,15.95,22.58,209.75,8490.0,32318.0,11,2,2.0
0.72,2.88,-27.0,54.16,2.0,65,14.22,22.83,214.71,7530.0,31428.0,11,2,1.0
0.72,2.84,-28.0,53.69,1.0,66,15.89,22.88,218.51,7585.0,31408.0,11,2,1.0
0.7,2.78,-28.0,53.79,1.0,64,15.96,22.95,232.02,7610.0,31368.0,11,2,1.0
0.7,2.76,-28.0,53.36,1.0,63,17.34,23.17,239.49,7462.0,31285.0,11,2,1.0
0.69,2.73,-28.0,52.56,1.0,63,17.82,22.88,253.33,7022.0,31035.0,11,2,1.0
0.69,2.71,-28.0,52.33,1.0,62,20.79,22.25,272.13,6607.0,31393.0,11,2,1.0
0.69,2.69,-27.0,52.04,1.0,58,18.45,21.94,275.97,7742.0,31603.0,11,2,1.0
0.67,2.64,-28.0,50.78,1.0,61,18.36,21.42,271.46,8172.0,31953.0,11,2,1.0
0.67,2.63,-27.0,50.81,1.0,60,18.12,21.37,267.16,8181.0,31962.0,11,2,1.0
0.67,2.61,-28.0,51.22,1.0,61,20.13,21.25,268.97,7926.0,31982.0,11,2,1.0
0.66,2.57,-28.0,54.63,1.0,63,17.99,20.63,260.47,8159.0,32267.0,11,2,1.0
