mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,breakdown_streak,delay_acceleration,availability_trend,tonnage_efficiency,time_since_maintenance,breakdown_severity_avg,rul_days,risk_class
7.79,64.65,0.0,73.64,1.0,73,31.85,34.09,320.74,6870.0,23410.0,11,1,69,1.034,0.161,1.062,1.0,76.03,1.0,IMMINENT
7.79,64.65,0.0,73.64,1.0,73,31.85,34.09,320.74,6870.0,23410.0,11,1,69,1.034,0.161,1.091,1.0,76.03,1.0,IMMINENT
7.79,64.65,0.0,73.64,1.0,73,31.85,34.09,320.74,6870.0,23410.0,11,1,69,1.034,0.161,0.0,1.0,76.03,1.0,IMMINENT
7.51,63.42,0.0,72.0,1.0,76,33.33,34.43,310.15,6720.0,24235.0,11,1,72,1.017,0.595,0.862,1.0,74.21,1.0,IMMINENT
7.51,63.42,0.0,72.0,1.0,76,33.33,34.43,310.15,6720.0,24235.0,11,1,72,1.017,0.595,0.99,1.0,74.21,1.0,IMMINENT
7.33,62.63,0.0,73.54,1.0,78,32.24,34.2,305.21,6505.0,24950.0,11,1,74,1.03,0.62,0.857,1.0,75.77,1.0,IMMINENT
7.33,62.63,0.0,73.54,1.0,78,32.24,34.2,305.21,6505.0,24950.0,11,1,74,1.03,0.62,0.96,1.0,75.77,1.0,IMMINENT
7.33,62.63,0.0,73.54,1.0,78,32.24,34.2,305.21,6505.0,24950.0,11,1,74,1.03,0.62,0.901,1.0,75.77,1.0,IMMINENT
7.08,61.5,0.0,76.41,1.0,80,30.0,33.49,300.0,6720.0,25860.0,11,1,77,1.052,0.144,0.479,1.0,79.44,1.0,IMMINENT
7.08,61.5,0.0,76.41,1.0,80,30.0,33.49,300.0,6720.0,25860.0,11,1,77,1.052,0.144,0.989,1.0,79.44,1.0,IMMINENT
6.93,60.78,0.0,78.22,1.0,81,33.0,33.51,313.75,6110.0,26170.0,11,1,79,1.008,-0.906,0.844,1.0,80.31,1.0,IMMINENT
6.93,60.78,0.0,78.22,1.0,81,33.0,33.51,313.75,6110.0,26170.0,11,1,79,1.008,-0.906,0.957,1.0,80.31,1.0,IMMINENT
6.78,60.08,0.0,77.02,1.0,83,33.39,33.78,301.84,5755.0,26700.0,11,1,81,1.006,-0.293,0.782,1.0,78.98,1.0,IMMINENT
6.78,60.08,0.0,77.02,1.0,83,33.39,33.78,301.84,5755.0,26700.0,11,1,81,1.006,-0.293,0.827,1.0,78.98,1.0,IMMINENT
6.78,60.08,0.0,77.02,1.0,83,33.39,33.78,301.84,5755.0,26700.0,11,1,81,1.006,-0.293,0.809,1.0,78.98,1.0,IMMINENT
6.57,59.09,0.0,77.45,1.0,86,32.64,33.79,261.71,5820.0,27650.0,11,1,84,1.017,0.125,1.099,1.0,79.36,1.0,IMMINENT
6.57,59.09,0.0,77.45,1.0,86,32.64,33.79,261.71,5820.0,27650.0,11,1,84,1.017,0.125,1.056,1.0,79.36,1.0,IMMINENT
6.57,59.09,0.0,77.45,1.0,86,32.64,33.79,261.71,5820.0,27650.0,11,1,84,1.017,0.125,0.94,1.0,79.36,1.0,IMMINENT
6.37,58.14,0.0,76.58,1.0,87,33.8,33.72,284.95,5720.0,27680.0,11,1,87,0.999,0.4,0.425,1.0,79.66,1.0,IMMINENT
6.32,57.83,1.0,79.38,1.0,85,30.34,33.49,283.97,5350.0,27135.0,11,1,88,1.047,0.781,0.227,1.0,80.53,1.0,IMMINENT
6.32,57.83,1.0,79.38,1.0,85,30.34,33.49,283.97,5350.0,27135.0,11,1,88,1.047,0.781,1.047,1.0,80.53,1.0,IMMINENT
6.32,57.83,1.0,79.38,1.0,85,30.34,33.49,283.97,5350.0,27135.0,11,1,88,1.047,0.781,0.86,1.0,80.53,1.0,IMMINENT
6.13,56.94,0.0,81.92,1.0,85,30.27,32.82,271.78,5690.0,27410.0,11,1,91,1.038,0.291,0.409,1.0,85.35,1.0,IMMINENT
6.13,56.94,0.0,81.92,1.0,85,30.27,32.82,271.78,5690.0,27410.0,11,1,91,1.038,0.291,1.175,1.0,85.35,1.0,IMMINENT
6.13,56.94,0.0,81.92,1.0,85,30.27,32.82,271.78,5690.0,27410.0,11,1,91,1.038,0.291,1.225,1.0,85.35,1.0,IMMINENT
6.02,56.36,0.0,80.69,1.0,84,33.58,32.59,271.85,5420.0,27505.0,11,1,2,0.985,-0.112,1.099,1.0,84.88,1.0,IMMINENT
6.02,56.36,0.0,80.69,1.0,84,33.58,32.59,271.85,5420.0,27505.0,11,1,2,0.985,-0.112,1.013,1.0,84.88,1.0,IMMINENT
6.02,56.36,0.0,80.69,1.0,84,33.58,32.59,271.85,5420.0,27505.0,11,1,2,0.985,-0.112,1.057,1.0,84.88,1.0,IMMINENT
5.85,55.54,0.0,80.43,1.0,84,33.33,32.54,286.32,5760.0,27525.0,11,1,5,0.988,-0.46,1.061,1.0,81.25,1.0,IMMINENT
5.85,55.54,0.0,80.43,1.0,84,33.33,32.54,286.32,5760.0,27525.0,11,1,5,0.988,-0.46,0.939,1.0,81.25,1.0,IMMINENT
5.85,55.54,0.0,80.43,1.0,84,33.33,32.54,286.32,5760.0,27525.0,11,1,5,0.988,-0.46,0.699,1.0,81.25,1.0,IMMINENT
5.7,54.75,0.0,80.7,1.0,84,31.58,31.78,285.77,6240.0,27835.0,12,1,8,1.003,-0.239,1.053,1.0,83.81,1.0,IMMINENT
5.7,54.75,0.0,80.7,1.0,84,31.58,31.78,285.77,6240.0,27835.0,12,1,8,1.003,-0.239,1.033,1.0,83.81,1.0,IMMINENT
5.7,54.75,0.0,80.7,1.0,84,31.58,31.78,285.77,6240.0,27835.0,12,1,8,1.003,-0.239,1.039,1.0,83.81,1.0,IMMINENT
5.55,53.99,0.0,81.09,1.0,84,30.76,31.67,296.77,6315.0,27880.0,11,1,11,1.013,-0.194,0.732,1.0,84.82,1.0,IMMINENT
5.55,53.99,0.0,81.09,1.0,84,30.76,31.67,296.77,6315.0,27880.0,11,1,11,1.013,-0.194,1.038,1.0,84.82,1.0,IMMINENT
5.46,53.5,0.0,82.14,1.0,83,27.84,31.46,288.71,6235.0,27635.0,11,1,11,1.053,0.139,1.19,1.0,84.28,1.0,IMMINENT
5.46,53.5,0.0,82.14,1.0,83,27.84,31.46,288.71,6235.0,27635.0,11,1,11,1.053,0.139,1.096,1.0,84.28,1.0,IMMINENT
5.46,53.5,0.0,82.14,1.0,83,27.84,31.46,288.71,6235.0,27635.0,11,1,11,1.053,0.139,1.224,1.0,84.28,1.0,IMMINENT
5.32,52.79,0.0,80.78,1.0,83,30.21,32.28,309.2,6700.0,27305.0,11,1,16,1.031,0.058,1.306,1.0,74.46,1.0,IMMINENT
5.32,52.79,0.0,80.78,1.0,83,30.21,32.28,309.2,6700.0,27305.0,11,1,16,1.031,0.058,1.255,1.0,74.46,1.0,IMMINENT
5.32,52.79,0.0,80.78,1.0,83,30.21,32.28,309.2,6700.0,27305.0,11,1,16,1.031,0.058,1.14,1.0,74.46,1.0,IMMINENT
5.2,52.11,0.0,80.3,1.0,83,31.46,32.17,334.16,6580.0,27350.0,10,1,19,1.01,-0.034,0.0,1.0,75.96,1.0,IMMINENT
5.2,52.11,0.0,80.3,1.0,83,31.46,32.17,334.16,6580.0,27350.0,10,1,19,1.01,-0.034,0.935,1.0,75.96,1.0,IMMINENT
5.2,52.11,0.0,80.3,1.0,83,31.46,32.17,334.16,6580.0,27350.0,10,1,19,1.01,-0.034,0.882,1.0,75.96,1.0,IMMINENT
5.08,51.45,0.0,85.41,1.0,83,27.81,31.57,318.37,6930.0,27590.0,10,1,22,1.055,-0.415,0.755,1.0,84.4,1.0,IMMINENT
5.08,51.45,0.0,85.41,1.0,83,27.81,31.57,318.37,6930.0,27590.0,10,1,22,1.055,-0.415,0.962,1.0,84.4,1.0,IMMINENT
5.08,51.45,0.0,85.41,1.0,83,27.81,31.57,318.37,6930.0,27590.0,10,1,22,1.055,-0.415,1.224,1.0,84.4,1.0,IMMINENT
4.96,50.82,0.0,86.49,1.0,83,27.34,31.46,314.65,6975.0,27635.0,10,1,25,1.06,-0.281,1.142,1.0,87.47,1.0,IMMINENT
4.96,50.82,0.0,86.49,1.0,83,27.34,31.46,314.65,6975.0,27635.0,10,1,25,1.06,-0.281,1.034,1.0,87.47,1.0,IMMINENT
